key,id,baseline,domain,subdomain,area,text
"CRB:4.1.3.5","4.1.3.5","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall approve the size and resources of the Information Security function."
"CRB:4.1.3.6","4.1.3.6","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall ensure the alignment and implementation of cybersecurity policies and standards, developed by the Information Security function, across all business functions."
"CRB:4.1.3.7","4.1.3.7","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Executive/ Senior Management","Executive/ Senior Management shall also ensure proper segregation between information security and IT Operations by assigning appropriate oversight authority to the Information Security Function."
"CRB:4.1.4.1","4.1.4.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","Regulated Entities shall establish an Information Security function independent from Information Technology operations, empowered by the Board, with oversight from the Cybersecurity Steering Committee, and support from Executive/Senior Management. This independent function shall be headed by a designated Information Security professional and shall have necessary skills, knowledge, and competency."
"CRB:4.1.4.2","4.1.4.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The size of the Information Security function shall be determined based on the complexity, nature of business, technology assets, and complexity of operations."
"CRB:4.1.4.3","4.1.4.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The Information Security Function shall have the authority to oversee and provide independent assurance on the management and effectiveness of key operational security activities, including the Security Operations Center (SOC), cyber threat intelligence, vulnerability management, and incident management processes."
"CRB:4.1.4.4","4.1.4.4","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The head of the Information Security function shall be responsible for defining and reviewing the cybersecurity strategy."
"CRB:4.1.4.5","4.1.4.5","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The Information Security function shall define the cyber risk tolerance levels based on the approved risk appetite, ensuring alignment with the organizational objectives, regulatory requirements, and operational capabilities."
"CRB:4.1.4.6","4.1.4.6","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The Information Security function shall set the policies and standards for the governance, implementation, operation, monitoring, and response of cybersecurity controls in alignment with Regulated Entity’s strategy, risk appetite, and risk tolerance levels."
"CRB:4.1.4.7","4.1.4.7","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The Information Security function shall assess the adequacy of security controls to mitigate cyber risks, and would approve/ ensure approvals of any exceptions taking into consideration the compliance with the applicable regulatory guidance and the entity’s risk appetite. The Information Security function shall ensure that cybersecurity awareness and training programs are effectively provided/ delivered to all employees, contractors, and relevant third-party vendors."
"CRB:4.1.4.8","4.1.4.8","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Information Security Function","The Information Security function shall update the Cybersecurity Steering Committee, at least quarterly, and whenever there are any changes or emerging risks that require attention, about the overall status of their cybersecurity program."
"CRB:4.1.5.1","4.1.5.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Strategy","The cybersecurity strategy shall be defined, approved, implemented, and reviewed at least annually, where: a) the cybersecurity strategy shall undergo a formal and documented review on annual basis. b) the cybersecurity strategy shall also be subject to change-driven reviews triggered by significant internal or external factors that require revisions. These factors may include, but not limited to: i. major changes in the operating environment (e.g., business expansion, merger and acquisitions, technological advancement). ii. new or updated regulatory, legal, or sectoral requirements. iii. significant shifts in the cyber threats landscape or newly identified risks. c) the head of the Information Security function of the Regulated Entity shall present and obtain approval on the defined cybersecurity strategy and roadmap from the Board or the corresponding function/ committee as defined in the organization’s structure, annually or following any change-driven revisions."
"CRB:4.1.5.2","4.1.5.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Strategy","Regulated Entity’s cybersecurity strategy shall: a) define the desired cybersecurity maturity level and include clear cybersecurity objectives aligned with organizational goals and business objectives; b) align with the current deployed technology environment and future technology-related initiatives; c) Details into cyber initiatives / programs / projects that will enable the successful achievement of the desired cybersecurity capabilities; d) mandate compliance with applicable regulatory, legal and business requirements; and e) define the thresholds for cyber KPIs and KRIs, along with the hierarchy for reporting."
"CRB:4.1.5.3","4.1.5.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cybersecurity Strategy","Regulated Entities shall identify the responsibility and accountability for strategy implementation and monitoring."
"CRB:4.1.6.1","4.1.6.1","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","The cyber resilience policy shall be defined, approved, implemented, communicated, enforced, and made accessible to all employees, contractors, and relevant third-party vendors."
"CRB:4.1.6.2","4.1.6.2","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","The cyber resilience policy shall be reviewed at least annually or when warranted by changes to current business processes, technology assets, operating environment, or new regulatory requirements."
"CRB:4.1.6.3","4.1.6.3","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","The cyber resilience policy shall: a) define cybersecurity objectives and scope, Executive/ Senior Management’s commitment, cybersecurity roles and responsibilities, enforcement mechanisms, and deterrents for non-compliance; b) incorporate relevant international best practices, frameworks, and standards; c) include domains in alignment with the Regulated Entity’s business objectives, technology assets, and relevant organizational and regulatory policies; and d) consider applicable legal, regulatory, and business requirements."
"CRB:4.1.6.4","4.1.6.4","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","Departmental policies from other functions (such as HR, IT, Risk Management, and Procurement) shall align with the cyber resilience policy, with Executive/Senior Management ensuring this alignment."
"CRB:4.1.6.5","4.1.6.5","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","Regulated Entities shall ensure that supporting procedures, processes, and guidelines are established to enable the implementation of the policy."
"CRB:4.1.6.6","4.1.6.6","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","Regulated Entities shall ensure that all employees, contractors and relevant third-party vendors are responsible for complying with the organizational cyber resilience policy, as well as related standards and procedures."
"CRB:4.1.6.7","4.1.6.7","CRB","Governance, Risk, and Compliance","Cyber Resilience Governance and Oversight","Cyber Resilience Policy","The cyber resilience policy shall be approved by the Executive/Senior Management and authorized by the Board to ensure alignment with the Entity’s overall objectives and the proper management of cyber risks."
"CRB:4.2.1.1","4.2.1.1","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Management Methodology","The cybersecurity risk management methodology shall be defined, and implemented by the Information Security function, in collaboration with relevant teams such as IT, Risk Management, Compliance, and Internal Audit. The methodology shall be approved by the Executive/ Senior Management."
"CRB:4.2.1.2","4.2.1.2","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Management Methodology","The cybersecurity risk management methodology shall be reviewed by the Information Security function on annual basis to ensure continued relevance and effectiveness."
"CRB:4.2.1.3","4.2.1.3","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Management Methodology","Information Security function shall regularly communicate the cybersecurity risk management methodology, at least annually, to all relevant business and technology owners, and annually conduct awareness programs to ensure proper understanding and execution of risk assessments and management across the Entity."
"CRB:4.2.1.4","4.2.1.4","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Management Methodology","Cybersecurity risk management shall be integrated and incorporated with the broader enterprise-wide risk management strategy, by ensuring alignment of cybersecurity risk appetite and response measures with those defined and established at the enterprise level."
"CRB:4.2.1.5","4.2.1.5","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Management Methodology","The Regulated Entities shall ensure that: a) the cybersecurity risk management methodology is based on international best practices, frameworks, and latest standards such as ISO 31000, ISO 27005, ISO 27001, NIST 800-39 and ISF Standard of Good Practice; b) scope, periodicity, and execution responsibility for risk assessments and management are defined; c) risk appetite and tolerance levels are specified and determined based on the organizational priorities and objectives; and d) processes and templates for risk identification, assessment, treatment, and overall monitoring and reporting are specified and documented within a centralized risk register to ensure a unified and comprehensive approach."
"CRB:4.2.2.1","4.2.2.1","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","The risk identification exercise shall consider both internal and external threats and vulnerabilities, as well as the risks impacting the basic principles set out in the Baselines."
"CRB:4.2.2.2","4.2.2.2","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","The Regulated Entity shall take into account of the following during risk assessment: a) regulatory and legal requirements as applicable; b) technology assets and their criticality; c) connections with external networks; d) customer delivery channels; e) application interfaces; f) threat scenarios and actors (both internal and external); g) vulnerabilities stemming from governance, processes, design, infrastructure, or human factors; and h) active threat intelligence sources."
"CRB:4.2.2.3","4.2.2.3","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","The identified cybersecurity risks, including threats, vulnerabilities, and controls, shall be documented in a centralized risk register."
"CRB:4.2.2.4","4.2.2.4","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","Risks shall be evaluated on the basis of severity, impact to business and operations, and likelihood of their occurrence. The actual residual risk value for each identified risk shall be calculated and included in the risk register."
"CRB:4.2.2.5","4.2.2.5","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","The risk assessment outcomes shall be reported to, discussed with, and agreed upon with the respective Business and Technology risk owners within the Regulated Entity. The relevant business owner(s) (i.e., risk owner(s)) within the Regulated Entity shall accept and endorse the risk assessment results, in alignment with the Entity’s risk appetite and tolerance levels."
"CRB:4.2.2.6","4.2.2.6","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Identification and Assessment","The risk assessment shall be conducted annually, or whenever: a) new products and technologies are introduced; b) there is a significant change in technology, business, or operations-related processes; c) new material risks are detected by the Regulated Entity or reported by threat intelligence, indicating new or emerging risks; d) new third-party agreements are signed, taking into consideration the nature and criticality of the service being outsourced, regardless of whether the services are deemed critical or not. All third-party agreements, including non-critical ones, shall be subject to a cybersecurity risk assessment to ensure alignment with the Entity’s cybersecurity requirements."
"CRB:4.2.3.1","4.2.3.1","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Treatment and Monitoring","Regulated Entities shall ensure that risks documented in the risk register translate into risk treatment plans that correspond to and address the risks identified in the risk register."
"CRB:4.2.3.2","4.2.3.2","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Treatment and Monitoring","Risk treatment shall be categorized (e.g., risk acceptance, risk avoidance, risk mitigation, and risk transfer.), tracked, and managed. In case of risk acceptance, avoidance, or transfer, the justification for the chosen treatment shall be documented, approved, and in line with the Regulated Entity’s risk management methodology. The documentation should ensure transparency and clarity for decision-makers, ensuring the reasoning for each treatment decision is formally outlined and established."
"CRB:4.2.3.3","4.2.3.3","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Treatment and Monitoring","A risk monitoring process shall be implemented to: a) track compliance with the defined risk treatment plans; b) ensure effectiveness of risk mitigation controls; and c) ensure prioritization, effective management, and monitoring of key risks, based on their potential impact and likelihood."
"CRB:4.2.3.4","4.2.3.4","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity Risk Treatment and Monitoring","The head of Information Security function shall update the Cybersecurity Steering Committee on a quarterly basis regarding the current status of identified risks, treatment plans, and any changes in the risk profile. Additionally, emergent risks shall be flagged and reported promptly, ensuring that adjustments can be made to the risk treatment plans where necessary."
"CRB:4.2.4.1","4.2.4.1","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cyber Insurance","Regulated Entities shall document an evaluation of their need for cyber insurance coverage, including rationale for adopting or not adopting such coverage, based on the organizational risk appetite, as a risk transfer mechanism for certain types of cyber risk."
"CRB:4.2.4.2","4.2.4.2","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cyber Insurance","Regulated Entities shall ensure in the event of adopting cyber insurance, that any cyber insurance policy adopted provides coverage for a broad range of losses, including, but not limited to, ransomware incidents, cost of data breaches, third-party liabilities."
"CRB:4.2.4.3","4.2.4.3","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cyber Insurance","Regulated Entities shall conduct due diligence on chosen cyber insurance policies, to ensure the exclusions and limitations which may impact the insurance payout(s)."
"CRB:4.2.5.1","4.2.5.1","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity in Project Management","Cybersecurity requirements shall be incorporated into the Regulated Entities’ project management methodology, to ensure that cybersecurity risks are identified and addressed."
"CRB:4.2.5.2","4.2.5.2","CRB","Governance, Risk, and Compliance","Cybersecurity Risk Management","Cybersecurity in Project Management","The Regulated Entities’ project management methodology shall consider that: a) cybersecurity objectives are included in the project objectives; b) the cybersecurity function is involved at all stages of the project; c) a risk assessment is performed at the onset of the project to identify the cybersecurity risks and to ensure that appropriate cybersecurity requirements are addressed either by existing cybersecurity controls or developed to treat the identified risks; d) cybersecurity risks are documented and tracked in a centralized project risk register; e) responsibilities for cybersecurity are defined and responsible stakeholders are identified; and f) a cybersecurity review is performed by an independent internal party or external third- party."
"CRB:4.3.1.1","4.3.1.1","CRB","Governance, Risk, and Compliance","Compliance","Regulatory, Statutory, and Standards Compliance","Regulated Entities shall identify, document, and demonstrate compliance to applicable legal, regulatory, and compliance requirements, such as: a) CBK requirements, instructions, laws, and regulations, including -but not limited to-: i. CBK Law 32; ii. Law 20/2014, E-Transaction Law; iii. CCTV Law No 61/2015; iv. E-Crime Law No 60/2015; v. Instructions for Regulation of the Electronic payment of Funds; vi. Instructions of Anti-Money Laundering and Combating the Financing of Terrorism (AML/CFT); vii. Open Banking (OB) Framework; and viii. Cyber and Operational Resilience Framework for all Local Banks and Financial Institutions; and ix. Other relevant requirements, instructions, regulations issued by CBK. b) Communication and Information Technology Regulatory Authority (CITRA) laws and regulations; and c) National Cybersecurity Center (NCSC) Decisions."
"CRB:4.3.1.2","4.3.1.2","CRB","Governance, Risk, and Compliance","Compliance","Regulatory, Statutory, and Standards Compliance","Regulated Entities shall comply with latest version of the applicable best practices and standards such as: a) Payment Cards Industry Data Security Standard (PCI DSS); b) PCI PIN Transaction Security (PCI PTS); c) PCI Software Security Framework (PCI SSF) d) EMV (Europay, MasterCard, and VISA) Technical Standard; e) SWIFT Customer Security Program (SWIFT CSP); and f) International Organization of Standardization (e.g., ISO 27001, ISO 22301, ISO 31000)."
"CRB:4.3.1.3","4.3.1.3","CRB","Governance, Risk, and Compliance","Compliance","Regulatory, Statutory, and Standards Compliance","Regulated Entities shall obtain and maintain certifications for ISO 27001, ISO 22301 and PCI DSS, complete the attestation for SWIFT Customer Security Controls Framework (SWIFT CSCF), and shall provide attestation of compliance to CBK upon request or at regular intervals in line with the specific requirements of the relevant standards."
"CRB:4.3.1.4","4.3.1.4","CRB","Governance, Risk, and Compliance","Compliance","Regulatory, Statutory, and Standards Compliance","Regulated Entities shall maintain a compliance register documenting all applicable compliance requirements. Any changes to these requirements shall be identified, assessed, implemented, and appropriately reflected in the register, which shall be reviewed and updated regularly, at least annually."
"CRB:4.4.1.1","4.4.1.1","CRB","Governance, Risk, and Compliance","Independent Audit","Audit Function of Regulated Entity","The audit function shall ensure that independent audits are conducted to evaluate the implementation and effectiveness of the Information Security Management System and cybersecurity controls."
"CRB:4.4.2.1","4.4.2.1","CRB","Governance, Risk, and Compliance","Independent Audit","Audit Planning and Execution","An audit charter, based on generally accepted auditing standards and the cyber and operational resilience framework, shall be defined, approved, implemented, and reviewed annually. The audit charter shall specify the purpose, mandate, responsibility, and accountability of management with respect to the audit."
"CRB:4.4.2.2","4.4.2.2","CRB","Governance, Risk, and Compliance","Independent Audit","Audit Planning and Execution","An audit plan shall be defined and approved by the Board."
"CRB:4.4.2.3","4.4.2.3","CRB","Governance, Risk, and Compliance","Independent Audit","Audit Planning and Execution","Regulated Entities shall ensure that risk areas, defined in this framework, are audited on regular basis, using a risk-based approach to classify risk areas as per internal business requirements and defined methodologies. The classification of risk areas may consider the criticality of assets, the likelihood of threat occurrence, and the potential impact of a compromise or failure: a) high-risk areas involve critical assets or processes, face frequent or significant threats, and/or would result in severe consequences if compromised. These areas shall be audited at least annually; and b) medium- and low-risk areas may have lower criticality, fewer threats, and/or less severe impact. These areas shall be audited at least once in two years."
"CRB:4.4.3.1","4.4.3.1","CRB","Governance, Risk, and Compliance","Independent Audit","Independent Third-Party Audits","Cybersecurity audits to assess compliance against the CBK CORF shall be performed by independent and competent third-party auditor approved by CBK."
"CRB:4.4.3.2","4.4.3.2","CRB","Governance, Risk, and Compliance","Independent Audit","Independent Third-Party Audits","The third-party auditors shall: a) possess relevant certifications such as Certified Information Systems Auditor (CISA), ISO 27001 Lead Auditor, Certified Information Security Manager (CISM), Certified Information Systems Security Professional (CISSP), or equivalent qualifications; and b) have a minimum of five (5) years of experience auditing information security, cyber security, cyber resilience, and/or business continuity in banking and financial institutions (at least one (1) team member of the audit team). The third-parties entrusted to perform independent audits shall be changed at least once every two years."
"CRB:4.4.4.1","4.4.4.1","CRB","Governance, Risk, and Compliance","Independent Audit","Independent Audit Reporting","The Board shall be provided with periodic feedback regarding the comprehensiveness and effectiveness of the cyber resilience policy and its implementation. Audit findings, with focus on high-risk areas and corrective actions, shall be reported quarterly."
"CRB:4.4.4.2","4.4.4.2","CRB","Governance, Risk, and Compliance","Independent Audit","Independent Audit Reporting","Regulated Entities shall track and monitor independent audit findings and publish an assessment and compliance dashboard to the Board on a quarterly basis."
"CRB:4.5.1.1","4.5.1.1","CRB","Governance, Risk, and Compliance","Workforce Management","Personnel Security","Perform sufficient background screenings in line with relevant laws, regulations, and organizational requirements prior to onboarding/hiring employees."
"CRB:4.5.1.2","4.5.1.2","CRB","Governance, Risk, and Compliance","Workforce Management","Personnel Security","Ensure that appropriate confidentiality or Non-Disclosure Agreements (NDAs) are signed by the employees, contractors, and third-party vendors before onboarding or engaging in any activities for the Entity."
"CRB:4.5.1.3","4.5.1.3","CRB","Governance, Risk, and Compliance","Workforce Management","Personnel Security","Ensure that all employees, contractors, and third-party vendors formally acknowledge their commitment to adhere to information security policies, procedures, and guidelines."
"CRB:4.5.1.4","4.5.1.4","CRB","Governance, Risk, and Compliance","Workforce Management","Personnel Security","Ensure a formal disciplinary process is defined, documented, and implemented to cover violations of code of conduct and/or internal policies and standards."
"CRB:4.5.1.5","4.5.1.5","CRB","Governance, Risk, and Compliance","Workforce Management","Personnel Security","Ensure that upon termination, all technology and data assets allocated to employees, contractors, and third-party vendors are returned, and all granted access privileges are promptly revoked."
"CRB:4.5.2.1","4.5.2.1","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","A security awareness and training program shall be established for all employees, contractors, and relevant third-party vendor staff."
"CRB:4.5.2.2","4.5.2.2","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","The security awareness and training program shall be conducted upon hire and at least annually, covering topics such as information security policies, information security roles and responsibilities, relevant procedures, latest cybersecurity threats in the banking and financial sector."
"CRB:4.5.2.3","4.5.2.3","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Customized role-based security trainings shall be conducted at least annually, ensuring relevance to specific job functions and responsibilities."
"CRB:4.5.2.4","4.5.2.4","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Specialized awareness programs for the Board and Executive/ Senior Management shall be delivered at least annually, to ensure they understand their roles in developing a cybersecurity culture."
"CRB:4.5.2.5","4.5.2.5","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","All employees, contractors, and relevant third-party staff shall formally acknowledge their awareness, understanding, and compliance with cybersecurity policies, at least annually."
"CRB:4.5.2.6","4.5.2.6","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Regulated Entities shall conduct customer security awareness campaigns, at least quarterly, addressing potential cybersecurity threats and risks, including phishing, brand misuse, and fraud, and promote practices for safe and secure use of financial services. These campaigns shall be delivered through multiple effective communication channels, such as social media platforms, in-app messages, SMS, emails, and other effective channels."
"CRB:4.5.2.7","4.5.2.7","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Customers shall be encouraged to report phishing emails or phishing websites or unusual behavior observed through appropriate channels identified by the Regulated Entity."
"CRB:4.5.2.8","4.5.2.8","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Regulated Entities shall assess and monitor the effectiveness of the security awareness and training programs through knowledge assessments and simulated social engineering attacks (e.g., mock phishing attacks/phishing simulations)."
"CRB:4.5.2.9","4.5.2.9","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Regulated Entities shall retain relevant documented information as evidence of all conducted security awareness and training programs, including attendance records and assessment results."
"CRB:4.5.2.10","4.5.2.10","CRB","Governance, Risk, and Compliance","Workforce Management","Training and Awareness","Regulated Entities shall continuously review the content of the security awareness and training programs, incorporating feedback from participants and adjustments based on the evolving threat landscape."
"CRB:4.5.3.1","4.5.3.1","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","A comprehensive professional cyber training and certification plan shall be defined, approved, implemented, and reviewed annually. This plan shall identify the professional certifications and training courses that staff employed by Regulated Entities shall pursue in order to continuously develop their cyber skills and capabilities."
"CRB:4.5.3.2","4.5.3.2","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Regulated Entities shall provide specialist skills-related training for staff in the relevant business functions in line with their job descriptions, such as: a) key/critical roles within the organization; b) information security, cyber security, cyber resilience, cyber security operations, cyber risk management, and internal audit staff; c) staff involved in developing and maintaining information/technology assets; and d) staff involved in executing risk assessments."
"CRB:4.5.3.3","4.5.3.3","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Regulated Entities shall conduct systematic workforce planning to identify and document current and future cybersecurity staffing needs, skill gaps, and resource allocation to meet organizational goals."
"CRB:4.5.3.4","4.5.3.4","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Regulated Entities shall define clear career pathways for information security, cyber security, cyber resilience, cyber operations, cyber risk management, and internal audit roles, including role progression, leadership development opportunities, and mentorship initiatives, to encourage retention and professional growth."
"CRB:4.5.3.5","4.5.3.5","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Regulated Entities shall implement retention strategies, such as competitive compensation, flexible working arrangements, career advancement opportunities, and employee recognition programs, to maintain skilled workforce."
"CRB:4.5.3.6","4.5.3.6","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Cross-training and rotational assignments shall be implemented to broaden staff expertise and ensure workforce resilience."
"CRB:4.5.3.7","4.5.3.7","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Contingency plans for critical roles pertaining to the implementation and monitoring of this framework shall be developed, including knowledge transfer mechanisms and backup personnel for continuity."
"CRB:4.5.3.8","4.5.3.8","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","Metrics shall be established and monitored to assess the effectiveness of talent management programs, including training completion rates, certifications achieved, employee satisfaction scores, and retention statistics. These metrics shall be reported on quarterly basis to Executive/Senior Management to ensure continuous improvement."
"CRB:4.5.3.9","4.5.3.9","CRB","Governance, Risk, and Compliance","Workforce Management","Talent Management","A comprehensive annual review of talent management programs shall be conducted, including trend analysis, workforce planning recommendations, and evaluation of program effectiveness. The outcomes of this review and recommendations shall be presented to the Board for strategic oversight and to better refine workforce strategies."
