id,function,title,title_ar,requirement,requirement_ar,purpose_is_official,csf,cis,iso,phase,effort
"PR-1.1","PR","Network Segmentation","تجزئة الشبكة","Where feasible, separate user networks from server/data networks, and keep management/admin interfaces on a more restricted network segment. Place internet-facing systems in a more controlled network zone. Avoid direct access from user networks to sensitive servers unless explicitly required and approved.
• Do not treat network location alone as sufficient basis for trust. Access to management/admin interfaces and Critical Systems MUST be explicitly authorized based on least privilege and protected with strong authentication in accordance with PR-2 (including MFA for administrative access where supported).
• Document such access and review it at least annually.","تفصل الجهة متى أمكن شبكات المستخدمين عن شبكات الخوادم والبيانات، وتبقي واجهات الإدارة في مقطع شبكي أكثر تقييدا، وتضع الأنظمة المتصلة بالإنترنت في منطقة شبكية أكثر ضبطا، وتتجنب الوصول المباشر من شبكات المستخدمين إلى الخوادم الحساسة ما لم يكن مطلوبا ومعتمدا صراحة.
• ولا يعد الموقع الشبكي وحده أساسا كافيا للثقة، إذ يجب اعتماد الوصول إلى واجهات الإدارة والأنظمة الحرجة اعتمادا صريحا قائما على أقل الصلاحيات وحمايته بمصادقة قوية وفق الضابط PR-2 بما في ذلك المصادقة متعددة العوامل للوصول الإداري حيثما كانت مدعومة.
• ويوثق هذا الوصول ويراجع سنويا على الأقل.","yes","PR.IR-01 PR.AA-05","12.2 4.6 13.4","A.8.20 A.8.22","2","high"
"PR-1.2","PR","Vulnerability Management & Patching","إدارة الثغرات والتحديثات الأمنية","Have a simple written process for vulnerability management and review it at least annually. Run automated vulnerability scans on key systems: at least monthly for internet-facing systems, at least quarterly for other important internal systems, and after major changes. After each scan, review the report, produce a short action list, and fix the most serious issues first (for example, high and critical findings). Aim to apply operating system and application patches at least monthly on supported systems. Keep records of scans and key remediation actions.","تعتمد الجهة آلية مكتوبة مبسطة لإدارة الثغرات وتراجعها سنويا على الأقل، وتجري فحوصا آلية للثغرات على الأنظمة الرئيسية بواقع شهري على الأقل للأنظمة المتصلة بالإنترنت وربع سنوي على الأقل لسائر الأنظمة الداخلية المهمة وكذلك بعد التغييرات الجوهرية، وتراجع بعد كل فحص تقريره وتعد قائمة إجراءات موجزة وتعالج أخطر المسائل أولا كالنتائج العالية والحرجة، وتسعى إلى تطبيق تحديثات أنظمة التشغيل والتطبيقات شهريا على الأقل على الأنظمة المدعومة، وتحفظ سجلات الفحوص وإجراءات المعالجة الرئيسية.","yes","ID.RA-01 ID.RA-06 PR.PS-02","7.1 7.3 7.4 7.5 7.6","A.8.8","2","high"
"PR-2","PR","Identity, Authentication & Password Hygiene","الهوية والمصادقة وسلامة كلمات المرور","Require unique passwords for all accounts; do not reuse the same password across different systems. As a simple rule, require at least 8 characters for accounts protected by multi-factor authentication (MFA) and at least 14 characters for accounts without MFA. Avoid forcing regular password changes unless compromise is suspected. Enforce session lock or screen saver after 15 minutes of inactivity for workstations and around 2 minutes for mobile devices where practical. Limit administrator privileges to dedicated admin accounts, and require staff to perform day-to-day activities (email, web browsing, office work) from a normal user account. Implement MFA for all remote network access, externally exposed applications, and privileged/admin accounts where supported, using at least two different types of factor (something you know, something you have, something you are).","تشترط الجهة كلمات مرور فريدة لجميع الحسابات دون إعادة استخدام كلمة المرور نفسها عبر أنظمة مختلفة، وكقاعدة مبسطة تشترط ثمانية محارف على الأقل للحسابات المحمية بالمصادقة متعددة العوامل وأربعة عشر محرفا على الأقل للحسابات غير المحمية بها، وتتجنب فرض تغيير دوري لكلمات المرور ما لم يشتبه في اختراق، وتفرض قفل الجلسة أو شاشة التوقف بعد خمس عشرة دقيقة من الخمول في محطات العمل ونحو دقيقتين في الأجهزة المحمولة متى كان ذلك عمليا، وتقصر صلاحيات المدير على حسابات إدارية مخصصة وتلزم الموظفين بأداء أعمالهم اليومية من بريد وتصفح وأعمال مكتبية من حساب مستخدم عادي، وتطبق المصادقة متعددة العوامل على كل وصول شبكي عن بعد وعلى التطبيقات المكشوفة خارجيا وعلى الحسابات ذات الصلاحيات والحسابات الإدارية حيثما كانت مدعومة، على أن تستخدم نوعين مختلفين على الأقل من العوامل أي شيء تعرفه وشيء تملكه وشيء تكونه.","yes","PR.AA-01 PR.AA-02 PR.AA-03 PR.AA-05","5.2 5.4 6.3 6.4 6.5","A.5.15 A.5.16 A.5.17 A.8.5","1","medium"
"PR-2.1","PR","Corporate Email Only & Personal Email Ban","قصر المراسلات على البريد المؤسسي ومنع البريد الشخصي","Require that all official business communications use only Entity-approved corporate email accounts on approved domains. Personal/consumer email accounts MUST NOT be configured on corporate devices and MUST NOT be used for work-related communication. Enforce this via (1) an acceptable use policy, and (2) device and email configuration (e.g., MDM or mail client settings) that prevent adding personal accounts where feasible.","تشترط الجهة أن تجري كل مراسلات العمل الرسمية عبر حسابات بريد مؤسسي معتمدة منها وعلى نطاقات معتمدة، ولا يجوز تهيئة حسابات البريد الشخصي أو الاستهلاكي على أجهزة الجهة ولا استخدامها في المراسلات المتعلقة بالعمل، ويفرض ذلك أولا بسياسة للاستخدام المقبول وثانيا بإعدادات الأجهزة والبريد كنظام إدارة الأجهزة أو إعدادات عميل البريد بما يمنع إضافة الحسابات الشخصية متى أمكن.","yes","PR.DS-02 GV.PO-01","9.1 14.1","A.5.14 A.8.1","1","low"
"PR-2.2","PR","Password Manager & Credential Hygiene","مدير كلمات المرور وسلامة بيانات الاعتماد","Provide or approve a password-manager-style solution for staff who manage multiple credentials. Encourage use of long, unique passwords generated by the manager for each system. For shared/team accounts (where unavoidable), use shared password vaults or similar capabilities; do not share passwords through email, chat, or on paper.","توفر الجهة أو تعتمد حلا من نوع مدير كلمات المرور للموظفين الذين يديرون بيانات اعتماد متعددة، وتشجع استخدام كلمات مرور طويلة وفريدة يولدها المدير لكل نظام، وتستخدم للحسابات المشتركة أو حسابات الفرق عند تعذر تجنبها خزائن كلمات مرور مشتركة أو قدرات مماثلة، ولا تتبادل كلمات المرور عبر البريد الإلكتروني أو المحادثات أو على الورق.","yes","PR.AA-01 PR.AT-01","5.2 14.1","A.5.17","2","low"
"PR-3","PR","Awareness & Human Factors","التوعية والعوامل البشرية","Establish a security awareness program and provide training at least annually and for new joiners. At minimum, cover: social engineering and phishing, safe use of email and the web, handling of Sensitive and Restricted data, password and MFA hygiene, use of approved communication tools, use of portable media, and how to report suspicious activity or incidents. Use simple language and relevant examples.","تنشئ الجهة برنامجا للتوعية الأمنية وتقدم التدريب سنويا على الأقل وللموظفين الجدد، ويغطي كحد أدنى الهندسة الاجتماعية والتصيد والاستخدام الآمن للبريد الإلكتروني والإنترنت والتعامل مع البيانات الحساسة والمقيدة وسلامة كلمات المرور والمصادقة متعددة العوامل واستخدام أدوات التواصل المعتمدة واستخدام وسائط التخزين الخارجية وكيفية الإبلاغ عن النشاط المشبوه أو الحوادث، وتستخدم في ذلك لغة بسيطة وأمثلة ذات صلة.","yes","PR.AT-01 PR.AT-02","14.1 14.2 14.3 14.6","A.6.3","1","medium"
"PR-3.1","PR","Official Social Media & Digital Presence","الحسابات الرسمية والحضور الرقمي","Maintain a central register of official Entity accounts on external platforms (e.g., major social networks, video platforms). Create official accounts using corporate email addresses and appropriate naming conventions. Where the platform provides it and criteria are met, enable verification or ""official"" status. Protect these accounts with MFA and role-based administration; review access at least annually and remove access when staff leave or change roles.","تحفظ الجهة سجلا مركزيا لحساباتها الرسمية على المنصات الخارجية كشبكات التواصل ومنصات الفيديو الكبرى، وتنشئ الحسابات الرسمية باستخدام عناوين بريد مؤسسي وأعراف تسمية مناسبة، وتفعل التوثيق أو صفة الحساب الرسمي حيثما توفرها المنصة واستوفيت شروطها، وتحمي هذه الحسابات بالمصادقة متعددة العوامل وتديرها وفق الأدوار، وتراجع الوصول إليها سنويا على الأقل وتزيله عند مغادرة الموظفين أو تغير أدوارهم.","yes","PR.AA-05 ID.AM-02","5.1 6.5","A.5.16 A.8.5","2","low"
"PR-4","PR","Malware, Email & Web Protection","الحماية من البرمجيات الخبيثة وحماية البريد والويب","Deploy endpoint protection (e.g., anti-malware/EDR software) on supported servers and workstations with automatic updates and centralized alerting where possible. Use email and web security controls (e.g., spam filtering, attachment and URL filtering) to block common malicious content and clearly suspicious file types. Configure email systems to block or warn on dangerous file extensions that are not needed for business and to limit very large attachments according to business need. Configure email domains with appropriate anti-spoofing controls (SPF, DKIM, DMARC) to prevent impersonation. Train staff to be cautious with unexpected links and attachments, and to report suspicious messages.","تنشر الجهة حلول حماية الأجهزة الطرفية كبرمجيات مكافحة البرمجيات الخبيثة أو الكشف والاستجابة على الخوادم ومحطات العمل المدعومة مع تحديث تلقائي وتنبيه مركزي متى أمكن، وتستخدم ضوابط أمن البريد والويب كترشيح الرسائل المزعجة والمرفقات والروابط لحجب المحتوى الخبيث الشائع وأنواع الملفات المشبوهة بوضوح، وتهيئ أنظمة البريد لحجب امتدادات الملفات الخطرة غير اللازمة للعمل أو التنبيه عليها ولتحديد المرفقات الكبيرة جدا وفق حاجة العمل، وتهيئ نطاقات البريد بضوابط مناسبة لمنع الانتحال هي SPF وDKIM وDMARC، وتدرب الموظفين على الحذر من الروابط والمرفقات غير المتوقعة وعلى الإبلاغ عن الرسائل المشبوهة.","yes","PR.PS-05 DE.CM-01 PR.AT-01","9.2 9.3 9.6 10.1 10.2","A.8.7 A.8.23","1","medium"
"PR-4.1","PR","Approved Communication & Videoconferencing Platforms","منصات التواصل والاجتماعات المرئية المعتمدة","For official work (meetings, calls, messaging, screen sharing), use only Entity-approved communication and collaboration platforms. Do not use personal or unapproved apps (for example, private messaging, personal email, unauthorized remote-control tools) for work data or meetings. Maintain a simple list of approved platforms and ensure staff are aware of it. Where feasible, restrict installation or use of unapproved tools on corporate devices via configuration.","تستخدم الجهة في الأعمال الرسمية من اجتماعات ومكالمات ومراسلة ومشاركة للشاشة منصات التواصل والتعاون المعتمدة منها وحدها، ولا تستخدم التطبيقات الشخصية أو غير المعتمدة كالمراسلة الخاصة والبريد الشخصي وأدوات التحكم عن بعد غير المصرح بها في بيانات العمل أو اجتماعاته، وتحفظ قائمة مبسطة بالمنصات المعتمدة وتضمن علم الموظفين بها، وتقيد متى أمكن تثبيت الأدوات غير المعتمدة أو استخدامها على أجهزة الجهة عن طريق الإعدادات.","yes","PR.PS-01 GV.PO-01","2.3 2.5 2.7","A.5.14 A.8.19","2","low"
"PR-4.2","PR","Portable Media Device Control","التحكم في وسائط التخزين الخارجية","Where feasible, restrict or technically disable the use of unapproved portable storage media (e.g., USB drives) on Entity systems, especially those handling Sensitive data. Establish procedures to allow only authorized portable media if necessary for business, and train staff on proper usage of portable media devices.","تقيد الجهة متى أمكن استخدام وسائط التخزين الخارجية غير المعتمدة كأقراص الناقل التسلسلي العام على أنظمتها أو تعطله تقنيا، ولا سيما الأنظمة التي تعالج بيانات حساسة، وتضع إجراءات لا تسمح إلا بوسائط التخزين الخارجية المصرح بها إذا اقتضت حاجة العمل ذلك، وتدرب الموظفين على الاستخدام السليم لأجهزة وسائط التخزين الخارجية.","yes","PR.DS-01 PR.PS-01","10.3 10.4 3.9","A.7.10 A.8.7","2","low"
"PR-5","PR","Data Protection, Backup & Lifecycle","حماية البيانات والنسخ الاحتياطي ودورة حياتها","Implement regular, automated backups for critical systems and data, with priority to Sensitive and Restricted data. Store backups in at least one separate location (for example, a separate network segment, storage system, or cloud account). Protect backup data from unauthorized access and tampering (e.g., access controls, encryption). Test restoration of backups for key systems at least annually. Define and apply retention periods and secure disposal procedures aligned with legal requirements and the National Data Classification Framework, ensuring Sensitive data is securely erased or destroyed when no longer needed. For Sensitive data, if backups involve storage outside Kuwait (such as cloud backups), obtain any required approvals in line with data sovereignty requirements.","تنفذ الجهة نسخا احتياطية آلية منتظمة للأنظمة والبيانات الحرجة مع إعطاء الأولوية للبيانات الحساسة والمقيدة، وتحفظ النسخ في موقع منفصل واحد على الأقل كمقطع شبكي مستقل أو نظام تخزين آخر أو حساب سحابي، وتحمي بيانات النسخ الاحتياطي من الوصول غير المصرح به ومن العبث بضوابط الوصول والتشفير، وتختبر استعادة النسخ للأنظمة الرئيسية سنويا على الأقل، وتحدد وتطبق مدد الحفظ وإجراءات الإتلاف الآمن بما يتوافق مع المتطلبات القانونية ومع الإطار الوطني لتصنيف البيانات وبما يضمن محو البيانات الحساسة أو إتلافها بصورة آمنة عند انتفاء الحاجة إليها، أما البيانات الحساسة فإذا انطوت نسخها الاحتياطية على حفظ خارج الكويت كالنسخ السحابية وجب الحصول على أي موافقات مطلوبة وفق متطلبات سيادة البيانات.","yes","PR.DS-11 PR.DS-01 PR.DS-10","11.1 11.2 11.3 11.4 11.5 3.5","A.8.13 A.8.10 A.8.24","1","high"
"PR-6","PR","Physical Protection of Critical IT Assets","الحماية المادية للأصول التقنية الحرجة","Identify critical IT areas (for example, data centers, server rooms, main network rooms, and locations where backup media are stored) and keep a simple list of them. For these areas, implement basic physical protections appropriate to the site, including at least:
• Doors or cabinets that can be locked when the area is unattended.
• Restricted access so that only authorized personnel can enter or unlock equipment (for example, keys, access cards, or codes managed by IT or facilities).
• A simple record of non-routine visitors (such as contractors or vendors) to critical IT areas, which MAY be kept using existing building or guard logs.
Store backup media and portable equipment (such as laptops) in a locked room or cabinet when not in use; avoid leaving them unattended in public or shared areas. This control focuses on the physical protection of IT assets and SHOULD make use of the entity’s existing building or facility security arrangements wherever possible.","تحدد الجهة المناطق التقنية الحرجة كمراكز البيانات وغرف الخوادم وغرف الشبكة الرئيسية ومواقع حفظ وسائط النسخ الاحتياطي وتحفظ قائمة مبسطة بها، وتطبق على هذه المناطق حمايات مادية أساسية تناسب الموقع تشمل كحد أدنى ما يلي:
• أبوابا أو خزائن يمكن قفلها عند خلو المنطقة.
• وصولا مقيدا بحيث لا يدخل أو يفتح المعدات إلا المخولون، وذلك مثلا بمفاتيح أو بطاقات دخول أو رموز تديرها تقنية المعلومات أو إدارة المرافق.
• سجلا مبسطا للزوار غير المعتادين كالمقاولين والموردين إلى المناطق التقنية الحرجة، ويجوز حفظه ضمن سجلات المبنى أو الحراسة القائمة.
وتحفظ وسائط النسخ الاحتياطي والمعدات المحمولة كالحواسيب المحمولة في غرفة أو خزانة مقفلة عند عدم الاستخدام، مع تجنب تركها دون رقابة في الأماكن العامة أو المشتركة، ويركز هذا الضابط على الحماية المادية للأصول التقنية وينبغي أن يستفيد من ترتيبات أمن المبنى أو المرافق القائمة لدى الجهة حيثما أمكن.","yes","PR.AA-06 ID.AM-01","1.1 12.1","A.7.1 A.7.2 A.7.3 A.7.4 A.7.10","2","low"
"DE-1","DE","Audit Logging & Monitoring","تسجيل الأحداث والمراقبة","Enable audit logging on critical systems, network devices, security tools, and key applications. At minimum, log authentication events, administrative actions, and important security events. Where feasible, centralize logs into a basic logging solution for easier review.
• Restrict access to logs to authorized personnel only and protect logs from unauthorized modification or deletion (including logging configuration changes), prioritizing Critical Systems and the central logging solution where used.
• Retain logs for at least 90 days live and 12 months in total (live or archived). Review logs for suspicious activity at a frequency appropriate to the Entity’s risk (for example, weekly for smaller Entities, daily for higher-risk environments).","تفعل الجهة تسجيل التدقيق على الأنظمة الحرجة وأجهزة الشبكة وأدوات الأمن والتطبيقات الرئيسية، وتسجل كحد أدنى أحداث المصادقة والإجراءات الإدارية والأحداث الأمنية المهمة، وتجمع السجلات مركزيا في نظام تسجيل مركزي متى كان ذلك ممكنا تيسيرا للمراجعة.
• ويقصر الوصول إلى السجلات على المخولين وحدهم، وتحمى السجلات من التعديل أو الحذف غير المصرح به بما في ذلك تغييرات إعدادات التسجيل، مع إعطاء الأولوية للأنظمة الحرجة ولحل التسجيل المركزي حيثما استخدم.
• وتحفظ السجلات تسعين يوما على الأقل بصورة حية واثني عشر شهرا إجمالا حية كانت أو مؤرشفة، وتراجع بحثا عن نشاط مشبوه بوتيرة تناسب مخاطر الجهة، فأسبوعيا مثلا للجهات الأصغر ويوميا للبيئات الأعلى خطورة.","yes","DE.CM-01 DE.CM-03 PR.PS-04","8.1 8.2 8.5 8.9 8.10 8.11","A.8.15 A.8.16","2","high"
"DE-2","DE","Time Synchronization","مزامنة الوقت","Ensure all information systems (servers, workstations, network devices) synchronize their system clocks to a reliable, authoritative time source (e.g., NTP). Timestamps in logs MUST be consistent across the infrastructure. Periodically verify that system clocks remain in sync (for example, by comparing log timestamps from different systems).","تضمن الجهة أن تزامن جميع أنظمة المعلومات، من خوادم ومحطات عمل وأجهزة شبكة، ساعاتها مع مصدر زمني موثوق ومعتمد مثل بروتوكول توقيت الشبكة، ويجب أن تكون الطوابع الزمنية في السجلات متسقة عبر البنية التحتية، مع التحقق دوريا من بقاء ساعات الأنظمة متزامنة وذلك مثلا بمقارنة الطوابع الزمنية الواردة من أنظمة مختلفة.","yes","DE.CM-01 PR.PS-01","8.4","A.8.17","1","low"
