en,ar,source,evidence
"interfaces","واجهات الإدارة",derived,"1.0"
"explicitly","صراحة",derived,"1.0"
"domains","نطاقات",derived,"1.0"
"sensitive and restricted","والمقيدة",derived,"1.0"
"official accounts","الحسابات الرسمية",derived,"1.0"
"procedure covers","يغطي الإجراء",derived,"1.0"
"customer content","محتوى العميل",derived,"1.0"
"responsibilities are documented","والمسؤوليات موثقة",derived,"1.0"
"decision","للقرار رقم لسنة",derived,"1.0"
"sensitive cyber roles","الأدوار السيبرانية الحساسة",derived,"1.0"
"incident reporting","الإبلاغ الحوادث",derived,"1.0"
"asset record captures","سجل أصل",derived,"1.0"
"register records","يبين",derived,"1.0"
"hardened configuration baselines","مرجعية محصنة",derived,"1.0"
"scans","الفحوص",derived,"1.0"
"corporate email","البريد مؤسسي",derived,"1.0"
"audit logging enabled","تسجيل التدقيق مفعل",derived,"1.0"
"contracts","العقود",derived,"1.0"
"contract","عقد",derived,"1.0"
"model","النموذج",derived,"1.0"
"acceptable use","استخدام المقبول",derived,"1.0"
"outside kuwait","خارج الكويت",derived,"1.0"
"carry","تحمل",derived,"1.0"
"offboarding","إنهاء التعاقد",derived,"1.0"
"criticality","الحرجية",derived,"1.0"
"saas","كخدمة",derived,"1.0"
"entry","مدخل",derived,"1.0"
"days","تسعين يوما",derived,"1.0"
"key applications","التطبيقات الرئيسية",derived,"1.0"
"configuration baselines exist","توجد إعدادات مرجعية",derived,"1.0"
"vulnerability","الثغرات",derived,"1.0"
"important","المهمة",derived,"1.0"
"where practical","كان ذلك عمليا",derived,"1.0"
"corporate devices","الأجهزة الجهة",derived,"1.0"
"email accounts","الحسابات البريد",derived,"1.0"
"suspicious activity","النشاط مشبوه",derived,"1.0"
"endpoint protection","حماية الأجهزة",derived,"1.0"
"email domains","نطاقات البريد",derived,"1.0"
"critical areas","التقنية الحرجة",derived,"1.0"
"months","عشر شهرا",derived,"1.0"
"clocks reliable authoritative","زمني موثوق",derived,"1.0"
"periodically","دوريا",derived,"1.0"
"promptly","فورا",derived,"1.0"
"improvements","التحسينات",derived,"1.0"
"tests","اختبارات",derived,"1.0"
"independent","المستقلة",derived,"1.0"
"accountability","كان النموذج",derived,"1.0"
"structure","هيكل",derived,"1.0"
"formally","رسميا",derived,"1.0"
"mfa implemented","مطبقة",derived,"1.0"
"simple list","قائمة مبسطة",derived,"1.0"
"hire into sensitive","التعيين الأدوار",derived,"1.0"
"dates","والتواريخ",derived,"1.0"
"set record carries","سجل مجموعة",derived,"1.0"
"offboarding actions","إجراءات إنهاء التعاقد",derived,"1.0"
"laptops","والحواسيب",derived,"1.0"
"unauthorized software","البرمجيات غير المصرح",derived,"1.0"
"system role","اللازمة لدور نظام",derived,"1.0"
"firewall","جدار",derived,"1.0"
"user networks","شبكات المستخدمين",derived,"1.0"
"explicitly authorized","الأقل الصلاحيات",derived,"1.0"
"more","أكثر",derived,"1.0"
"short","موجزة",derived,"1.0"
"monthly supported systems","الأنظمة المدعومة",derived,"1.0"
"scan","فحص",derived,"1.0"
"key systems","الأنظمة الرئيسية",derived,"1.0"
"different systems","الأنظمة مختلفة",derived,"1.0"
"screen","للشاشة",derived,"1.0"
"minutes inactivity","الخمول",derived,"1.0"
"compromise","اختراق",derived,"1.0"
"admin accounts","الحسابات الإدارية",derived,"1.0"
"consumer email accounts","الاستهلاكي",derived,"1.0"
"passwords are not","كلمات المرور تتبادل",derived,"1.0"
"phishing","والتصيد",derived,"1.0"
"naming","تسمية",derived,"1.0"
"common malicious content","محتوى الخبيث الشائع",derived,"1.0"
"attachments","والمرفقات",derived,"1.0"
"configured entity email","البريد الجهة",derived,"1.0"
"staff are trained","الموظفون مدربون",derived,"1.0"
"locked room cabinet","خزانة مقفلة",derived,"1.0"
"requirements","المتطلبات",derived,"1.0"
"disposal","الإتلاف",derived,"1.0"
"backup data","البيانات النسخ الاحتياطي",derived,"1.0"
"remain non sensitive","تبقى",derived,"1.0"
"events","الأحداث",derived,"1.0"
"live","حية",derived,"1.0"
"logs are retained","تحفظ السجلات",derived,"1.0"
"channels","القنوات",derived,"1.0"
"guidance","إرشادات",derived,"1.0"
"sequencing","ترتيب",derived,"1.0"
"agreed","المتفق",derived,"1.0"
"every cloud contract","عقد سحابي",derived,"1.0"
"availability","بالإتاحة",derived,"1.0"
"agreement","الاتفاقية",derived,"1.0"
"accepts accountability","الجهة بمسؤوليتها",derived,"1.0"
"metadata","البيانات الوصفية",derived,"1.0"
"least","الأقل",derived,"0.99"
"key","الرئيسية",derived,"0.973"
"access","الوصول",derived,"0.971"
"ncsc","المركز",derived,"0.968"
"official","الرسمية",derived,"0.963"
"audit","التدقيق",derived,"0.957"
"risk","المخاطر",derived,"0.952"
"tools","أدوات",derived,"0.947"
"sensitive","الحساسة",derived,"0.941"
"systems","الأنظمة",derived,"0.933"
"covers","يغطي",derived,"0.933"
"portable media","وسائط التخزين الخارجية",derived,"0.933"
"accounts","الحسابات",derived,"0.923"
"services","الخدمات",derived,"0.923"
"enabled","مفعل",derived,"0.923"
"keys","مفاتيح",derived,"0.923"
"software","البرمجيات",derived,"0.923"
"changes","التغييرات",derived,"0.917"
"servers","الخوادم",derived,"0.917"
"service","الخدمة",derived,"0.912"
"written","مكتوبة",derived,"0.909"
"policy","سياسة",derived,"0.909"
"platforms","المنصات",derived,"0.909"
"simple","مبسطة",derived,"0.9"
"supported","المدعومة",derived,"0.9"
"procedure","الإجراء",derived,"0.9"
"line","يتفق",derived,"0.889"
"physical","المادية",derived,"0.889"
"least quarterly","ربع",derived,"0.889"
"one","واحد",derived,"0.889"
"regulations","الوطنية",derived,"0.889"
"servers workstations","ومحطات العمل",derived,"0.889"
"business owner","الجهة الأعمال",derived,"0.889"
"administrative access","الوصول الإداري",derived,"0.889"
"least annually","سنويا على الأقل",derived,"0.88"
"unauthorized","المصرح",derived,"0.88"
"contact","البيانات الاتصال",derived,"0.875"
"identity","الهوية",derived,"0.875"
"restoration","استعادة",derived,"0.875"
"where feasible","متى أمكن",derived,"0.87"
"roles","الأدوار",derived,"0.867"
"data","البيانات",derived,"0.865"
"protected","محمية",derived,"0.857"
"assessment","التقييم",derived,"0.857"
"implement","وتطبق",derived,"0.857"
"examples","وأمثلة",derived,"0.857"
"assets","الأصول",derived,"0.857"
"exposed","المكشوفة",derived,"0.857"
"protect","وتحمي",derived,"0.857"
"least one","واحد على الأقل",derived,"0.857"
"details are current","الاتصال محدثة",derived,"0.857"
"high","العالية",derived,"0.857"
"require least characters","محمية المصادقة",derived,"0.857"
"use email","الآمن البريد",derived,"0.857"
"approved platforms","المنصات المعتمدة",derived,"0.857"
"list","قائمة",derived,"0.846"
"not needed","اللازمة",derived,"0.833"
"backups","الاحتياطية",derived,"0.833"
"minimum","أدنى",derived,"0.824"
"maintain","تحفظ الجهة",derived,"0.8"
"inventory","حصر",derived,"0.8"
"can","يمكن",derived,"0.8"
"unique","فريدة",derived,"0.8"
"equipment","المعدات",derived,"0.8"
"disabled","معطلة",derived,"0.8"
"personal","الشخصية",derived,"0.8"
"secure","الآمنة",derived,"0.8"
"service accounts","الحسابات الخدمة",derived,"0.8"
"manager","مدير",derived,"0.8"
"sensitive data","البيانات الحساسة",derived,"0.774"
"actions","إجراءات",derived,"0.774"
"reporting","الإبلاغ",derived,"0.769"
"reviewed","تراجع",derived,"0.765"
"backup","النسخ الاحتياطي",derived,"0.762"
"management","الإدارة",derived,"0.757"
"shared","المشتركة",derived,"0.75"
"owner","مالك",derived,"0.75"
"critical systems","الأنظمة الحرجة",derived,"0.75"
"example","مثلا",derived,"0.75"
"user","المستخدمين",derived,"0.75"
"passwords","المرور",derived,"0.75"
"controls","ضوابط",derived,"0.75"
"location","موقع",derived,"0.75"
"cybersecurity","السيبراني",derived,"0.75"
"against","مقابل",derived,"0.75"
"establish","تنشئ",derived,"0.75"
"identify","مقيدا",derived,"0.75"
"where supported","كانت المدعومة",derived,"0.75"
"access management","الوصول إلى واجهات",derived,"0.75"
"define","تحدد",derived,"0.75"
"control","التحكم",derived,"0.75"
"policies","السياسات",derived,"0.75"
"accordance","وفقا",derived,"0.75"
"significant","جوهري",derived,"0.75"
"only authorized","إلا",derived,"0.75"
"notify","حادث",derived,"0.75"
"authorities","مختصة",derived,"0.75"
"standard","قياسية",derived,"0.75"
"major","الجوهرية",derived,"0.737"
"information","المعلومات",derived,"0.737"
"protection","حماية",derived,"0.737"
"configuration","إعدادات",derived,"0.733"
"use","استخدام",derived,"0.727"
"review","وتراجع",derived,"0.727"
"using","باستخدام",derived,"0.727"
"handling","التعامل",derived,"0.727"
"resource","مورد",derived,"0.727"
"encryption","تشفير",derived,"0.727"
"csp","مزود الخدمة السحابية",derived,"0.727"
"incident","الحوادث",derived,"0.723"
